GeneSym	NA	GeneID
A4GALT	na	53947
B3GALNT1	na	8706
ZP1	na	22917
ZSWIM6	na	57688
AARS	na	16
AARS2	na	57505
AASS	na	10157
ABAT	na	18
ABCA5	na	23461
ABCB1	na	5243
ABCB11	na	8647
ABCB4	na	5244
ABCB6	na	10058
ABCB7	na	22
ABCC11	na	85320
ABCC2	na	1244
ABCC6	na	368
ABCD4	na	5826
ABCG2	na	9429
ABCG8	na	64241
ABHD12	na	26090
ABHD5	na	51099
ABO	na	28
ACAD8	na	27034
ACAD9	na	28976
ACADM	na	34
ACADS	na	35
ACADSB	na	36
ACADVL	na	37
ACAN	na	176
ACAT1	na	38
ACOX1	na	51
ACP5	na	54
ACSF3	na	197322
ACSL4	na	2182
ACTA2	na	59
ACTB	na	60
ACTG1	na	71
ACTG2	na	72
ACTN1	na	87
ACTN4	na	81
ACVR1	na	90
ACVR2B	na	93
ACVRL1	na	94
ADA	na	100
ADAM10	na	102
ADAM17	na	6868
ADAM9	na	8754
ADAMTS10	na	81794
ADAMTS13	na	11093
ADAMTS17	na	170691
ADAMTS18	na	170692
ADAMTSL2	na	9719
ADAMTSL4	na	54507
ADAR	na	103
ADCK3	na	56997
ADCK4	na	79934
ADCY1	na	107
ADK	na	132
ADNP	na	23394
ADRB1	na	153
ADSL	na	158
AFG3L2	na	10939
AFP	na	174
AGA	na	175
AGBL1	na	123624
AGK	na	55750
AGL	na	178
AGPAT2	na	10555
AGPS	na	8540
AGRN	na	375790
AGXT	na	189
AHCY	na	191
AHI1	na	54806
AICDA	na	57379
AIFM1	na	9131
AIMP1	na	9255
AIRE	na	326
AK1	na	203
AK2	na	204
AKAP9	na	10142
AKR1C2	na	1646
AKR1D1	na	6718
AKT1	na	207
AKT3	na	10000
ALAD	na	210
ALAS2	na	212
ALB	na	213
ALDH18A1	na	5832
ALDH1A3	na	220
ALDH3A2	na	224
ALDH4A1	na	8659
ALDH5A1	na	7915
ALDH7A1	na	501
ALDOA	na	226
ALDOB	na	229
ALG1	na	56052
ALG11	na	440138
ALG12	na	79087
ALG13	na	79868
ALG2	na	85365
ALG3	na	10195
ALG6	na	29929
ALG8	na	79053
